FECHA,HORA,Unnamed: 2,Unnamed: 3,HORA (HHMM),Unnamed: 2,Unnamed: 3,HORA (HHMM),Registros validados,Registros preliminares,Registros no validados
181111,,,,0.0,"9,25949",,0.0,16.0,,
181112,,,,0.0,"11,5294",,0.0,10.0,,
181113,,,,0.0,"10,2093",,0.0,9.0,,
181114,,,,0.0,"9,60504",,0.0,12.0,,
181115,,,,0.0,"4,05902",,0.0,12.0,,
181116,,,,0.0,"5,03014",,0.0,11.0,,
181117,,,,0.0,"5,2851",,0.0,9.0,,
181118,,,,0.0,"7,10098",,0.0,,,
181119,,,,0.0,"10,2934",,0.0,,,
181120,,,,0.0,"6,74223",,0.0,22.0,,
181121,,,,0.0,"5,65904",,0.0,32.0,,
181122,,,,0.0,"5,1436",,0.0,13.0,,
181123,,,,0.0,"7,32156",,0.0,10.0,,
181124,,,,0.0,"7,3037",,0.0,11.0,,
181125,,,,0.0,"7,53852",,0.0,17.0,,
181126,,,,0.0,"7,23623",,0.0,13.0,,
181127,,,,0.0,"7,8625",,0.0,9.0,,
181128,,,,0.0,"10,8209",,0.0,7.0,,
181129,,,,0.0,"11,5567",,0.0,8.0,,
181130,,,,0.0,"7,44215",,0.0,11.0,,
181201,,,,0.0,"6,64092",,0.0,13.0,,
181202,,,,0.0,"9,8694",,0.0,8.0,,
181203,,,,0.0,"12,1243",,0.0,9.0,,
181204,,,,0.0,"11,2318",,0.0,7.0,,
181205,,,,0.0,"11,0145",,0.0,14.0,,
181206,,,,0.0,"13,9104",,0.0,7.0,,
181207,,,,0.0,"15,9911",,0.0,6.0,,
181208,,,,0.0,"18,1919",,0.0,5.0,,
181209,,,,0.0,"13,7117",,0.0,4.0,,
181210,,,,0.0,"11,1871",,0.0,7.0,,
181211,,,,0.0,"8,9279",,0.0,7.0,,
181212,,,,0.0,"8,51996",,0.0,7.0,,
181213,,,,0.0,"8,41428",,0.0,10.0,,
181214,,,,0.0,"8,71504",,0.0,9.0,,
181215,,,,0.0,"9,36707",,0.0,6.0,,
181216,,,,0.0,"14,0128",,0.0,8.0,,
181217,,,,0.0,"7,32256",,0.0,11.0,,
181218,,,,0.0,"8,28877",,0.0,7.0,,
181219,,,,0.0,"10,06",,0.0,6.0,,
181220,,,,0.0,"12,0781",,0.0,5.0,,
181221,,,,0.0,"11,975",,0.0,6.0,,
181222,,,,0.0,"12,3435",,0.0,8.0,,
181223,,,,0.0,"11,6059",,0.0,7.0,,
181224,,,,0.0,"14,2408",,0.0,9.0,,
181225,,,,0.0,"9,80281",,0.0,9.0,,
181226,,,,0.0,"10,5622",,0.0,7.0,,
181227,,,,0.0,"12,0611",,0.0,5.0,,
181228,,,,0.0,"9,5695",,0.0,6.0,,
181229,,,,0.0,"10,9085",,0.0,10.0,,
181230,,,,0.0,"6,1422",,0.0,6.0,,
181231,,,,0.0,"12,8522",,0.0,13.0,,
190101,,,,0.0,"5,62309",,0.0,16.0,,
190102,,,,0.0,"4,28014",,0.0,11.0,,
190103,,,,0.0,"6,34035",,0.0,5.0,,
190104,,,,0.0,"13,2007",,0.0,6.0,,
190105,,,,0.0,"11,5678",,0.0,7.0,,
190106,,,,0.0,"10,201",,0.0,8.0,,
190107,,,,0.0,"6,12538",,0.0,16.0,,
190108,,,,0.0,"3,74834",,0.0,14.0,,
190109,,,,0.0,"1,85217",,0.0,15.0,,
190110,,,,0.0,"8,23706",,0.0,13.0,,
190111,,,,0.0,"10,1836",,0.0,12.0,,
190112,,,,0.0,"10,3584",,0.0,15.0,,
190113,,,,0.0,"7,3027",,0.0,12.0,,
190114,,,,0.0,"12,7321",,0.0,5.0,,
190115,,,,0.0,"12,8761",,0.0,11.0,,
190116,,,,0.0,"9,04945",,0.0,15.0,,
190117,,,,0.0,"8,62762",,0.0,8.0,,
190118,,,,0.0,"11,7883",,0.0,5.0,,
190119,,,,0.0,"15,0861",,0.0,5.0,,
190120,,,,0.0,"15,1635",,0.0,5.0,,
190121,,,,0.0,"8,83038",,0.0,13.0,,
190122,,,,0.0,"8,4043",,0.0,,,5.0
190123,,,,0.0,"8,11378",,0.0,,,2.0
190124,,,,0.0,"11,008",,0.0,,,3.0
190125,,,,0.0,"7,03966",,0.0,,,10.0
190126,,,,0.0,"7,11312",,0.0,12.0,,
190127,,,,0.0,"9,36177",,0.0,6.0,,
190128,,,,0.0,"11,1583",,0.0,3.0,,
190129,,,,0.0,"11,2105",,0.0,9.0,,
190130,,,,0.0,"8,50954",,0.0,9.0,,
190131,,,,0.0,"7,70167",,0.0,8.0,,
190201,,,,0.0,"9,36261",,0.0,9.0,,
190202,,,,0.0,"9,87172",,0.0,15.0,,
190203,,,,0.0,"15,79",,0.0,15.0,,
190204,,,,0.0,"17,2775",,0.0,15.0,,
190205,,,,0.0,"19,1631",,0.0,11.0,,
190206,,,,0.0,"13,2176",,0.0,13.0,,
190207,,,,0.0,"9,40839",,0.0,12.0,,
190208,,,,0.0,"10,428",,0.0,11.0,,
190209,,,,0.0,"12,937",,0.0,9.0,,
190210,,,,0.0,"8,41191",,0.0,14.0,,
190211,,,,0.0,"7,42838",,0.0,14.0,,
190212,,,,0.0,"11,8958",,0.0,14.0,,
190213,,,,0.0,"14,5104",,0.0,11.0,,
190214,,,,0.0,"16,0716",,0.0,8.0,,
190215,,,,0.0,"15,817",,0.0,8.0,,
190216,,,,0.0,"16,666",,0.0,11.0,,
190217,,,,0.0,"14,9408",,0.0,9.0,,
190218,,,,0.0,"15,4897",,0.0,10.0,,
190219,,,,0.0,"9,00037",,0.0,11.0,,
190220,,,,0.0,"8,24799",,0.0,15.0,,
190221,,,,0.0,"6,115",,0.0,19.0,,
190222,,,,0.0,"5,20558",,0.0,25.0,,
190223,,,,0.0,"6,71542",,0.0,11.0,,
190224,,,,0.0,"6,89717",,0.0,24.0,,
190225,,,,0.0,"6,04575",,0.0,30.0,,
190226,,,,0.0,"9,23511",,0.0,20.0,,
190227,,,,0.0,"9,74921",,0.0,18.0,,
190228,,,,0.0,"11,7765",,0.0,25.0,,
190301,,,,0.0,"10,0821",,0.0,17.0,,
190302,,,,0.0,"11,2902",,0.0,,,
190303,,,,0.0,"9,46678",,0.0,18.0,,
190304,,,,0.0,"6,60002",,0.0,16.0,,
190305,,,,0.0,"7,63157",,0.0,21.0,,
190306,,,,0.0,"10,1029",,0.0,23.0,,
190307,,,,0.0,"7,39723",,0.0,25.0,,
190308,,,,0.0,"6,68108",,0.0,16.0,,
190309,,,,0.0,"9,95671",,0.0,17.0,,
190310,,,,0.0,"10,1021",,0.0,20.0,,
190311,,,,0.0,"13,9371",,0.0,11.0,,
190312,,,,0.0,"11,2395",,0.0,20.0,,
190313,,,,0.0,"11,5184",,0.0,26.0,,
190314,,,,0.0,"7,96727",,0.0,23.0,,
190315,,,,0.0,"11,9733",,0.0,27.0,,
190316,,,,0.0,"10,4161",,0.0,17.0,,
190317,,,,0.0,"13,621",,0.0,12.0,,
190318,,,,0.0,"4,71938",,0.0,22.0,,
190319,,,,0.0,"5,14111",,0.0,44.0,,
190320,,,,0.0,"5,89297",,0.0,23.0,,
190321,,,,0.0,"8,64214",,0.0,25.0,,
190322,,,,0.0,"10,9667",,0.0,16.0,,
190323,,,,0.0,"10,6251",,0.0,15.0,,
190324,,,,0.0,"9,22672",,0.0,16.0,,
190325,,,,0.0,"7,69502",,0.0,46.0,,
190326,,,,0.0,"6,84129",,0.0,58.0,,
190327,,,,0.0,"6,68792",,0.0,38.0,,
190328,,,,0.0,"11,9109",,0.0,27.0,,
190329,,,,0.0,"11,27",,0.0,17.0,,
190330,,,,0.0,"10,2442",,0.0,28.0,,
190331,,,,0.0,"10,5245",,0.0,13.0,,
190401,,,,0.0,"11,5145",,0.0,17.0,,
190402,,,,0.0,"13,1001",,0.0,11.0,,
190403,,,,0.0,"9,86671",,0.0,15.0,,
190404,,,,0.0,"6,40833",,0.0,14.0,,
190405,,,,0.0,"9,02667",,0.0,14.0,,
190406,,,,0.0,"9,30667",,0.0,17.0,,
190407,,,,0.0,"10,9967",,0.0,24.0,,
190408,,,,0.0,"12,5825",,0.0,17.0,,
190409,,,,0.0,"12,405",,0.0,26.0,,
190410,,,,0.0,"9,4975",,0.0,18.0,,
190411,,,,0.0,"8,08684",,0.0,13.0,,
190412,,,,0.0,"9,76917",,0.0,26.0,,
190413,,,,0.0,"3,73042",,0.0,26.0,,
190414,,,,0.0,"2,69333",,0.0,20.0,,
190415,,,,0.0,"7,71767",,0.0,16.0,,
190416,,,,0.0,"9,825",,0.0,44.0,,
190417,,,,0.0,"6,59458",,0.0,26.0,,
190418,,,,0.0,"8,10583",,0.0,27.0,,
190419,,,,0.0,"7,23867",,0.0,31.0,,
190420,,,,0.0,"6,58642",,0.0,17.0,,
190421,,,,0.0,"7,769",,0.0,49.0,,
190422,,,,0.0,"3,197",,0.0,47.0,,
190423,,,,0.0,"6,4995",,0.0,90.0,,
190424,,,,0.0,"1,96975",,0.0,191.0,,
190425,,,,0.0,"3,4295",,0.0,204.0,,
190426,,,,0.0,"2,40817",,0.0,72.0,,
190427,,,,0.0,"6,6945",,0.0,64.0,,
190428,,,,0.0,"9,61665",,0.0,29.0,,
190429,,,,0.0,"4,69",,0.0,25.0,,
