FECHA (YYMMDD),HORA (HHMM),Unnamed: 2,Unnamed: 3
220105,2100,"15,8033",
220105,2200,"14,8725",
220105,2300,"14,2367",
220106,0,"13,62",
220106,100,"13,0533",
220106,200,"12,5042",
220106,300,"12,1533",
220106,400,"11,7075",
220106,500,"11,725",
220106,600,"13,1692",
220106,700,"15,2267",
220106,800,"16,9842",
220106,900,"19,3008",
220106,1000,"21,2067",
220106,1100,"21,98",
220106,1200,"22,5417",
220106,1300,"23,4",
220106,1400,"22,3875",
220106,1500,"21,8192",
220106,1600,"22,1983",
220106,1700,"22,3767",
220106,1800,"22,525",
220106,1900,"20,9117",
220106,2000,"19,2033",
220106,2100,"18,13",
220106,2200,"17,7675",
220106,2300,"16,9575",
220107,0,"16,4842",
220107,100,"16,2717",
220107,200,"15,8208",
220107,300,"15,7467",
220107,400,"14,8408",
220107,500,"14,6775",
220107,600,"15,3817",
220107,700,"16,44",
220107,800,"17,99",
220107,900,"19,8158",
220107,1000,"20,3583",
220107,1100,"21,6667",
220107,1200,"23,3125",
220107,1300,"23,5808",
220107,1400,"23,175",
220107,1500,"22,3042",
220107,1600,"21,7658",
220107,1700,"20,6342",
220107,1800,"19,7367",
220107,1900,"18,7317",
220107,2000,"17,2892",
220107,2100,"16,1083",
220107,2200,"15,4067",
220107,2300,"15,3233",
220108,0,"15,1442",
220108,100,"15,1567",
220108,200,"15,5092",
220108,300,"15,5383",
220108,400,"15,7042",
220108,500,"15,4667",
220108,600,"16,2218",
220108,700,"17,6701",
220108,800,"19,1601",
220108,900,"19,5267",
220108,1000,"19,5025",
220108,1100,"20,09",
220108,1200,"19,5925",
220108,1300,"19,5008",
220108,1400,"21,2008",
220108,1500,"20,9508",
220108,1600,"20,5817",
220108,1700,"20,885",
220108,1800,"20,61",
220108,1900,"18,88",
220108,2000,"16,9517",
220108,2100,"15,7033",
220108,2200,"14,8158",
220108,2300,"13,7842",
220109,0,"13,2033",
220109,100,"12,3517",
220109,200,"11,92",
220109,300,"11,9133",
220109,400,"11,3508",
220109,500,"10,8092",
220109,600,"11,8142",
220109,700,"13,4775",
220109,800,"14,925",
220109,900,"15,9208",
220109,1000,"16,7192",
220109,1100,"17,7292",
220109,1200,"19,1333",
220109,1300,"18,5175",
220109,1400,"18,1617",
220109,1500,"17,1608",
220109,1600,"17,775",
220109,1700,"17,5892",
220109,1800,"16,4775",
220109,1900,"15,255",
220109,2000,"14,77",
220109,2100,"14,35",
220109,2200,"13,0975",
220109,2300,"12,9758",
220110,0,,
220110,100,,
220110,200,"12,8917",
220110,300,"12,9025",
220110,400,"12,7517",
220110,500,"12,885",
220110,600,"13,5217",
220110,700,"14,45",
220110,800,"14,9467",
220110,900,"15,7667",
220110,1000,"16,6275",
220110,1100,"17,2008",
220110,1200,"17,6717",
220110,1300,"18,5992",
220110,1400,"18,0317",
220110,1500,"18,3458",
220110,1600,"17,7267",
